        Time / s                o1,1/real
----------------------------------------------------------------------
                       0                               0
           2.9901583e-12                               0
           5.9803165e-12                  -1.5714123e-15
           8.9704745e-12                  -6.5445882e-15
           1.1960633e-11                    2.273605e-15
           1.4950791e-11                   3.1494843e-13
           1.7940949e-11                   2.8753683e-12
           2.0931108e-11                   1.6004503e-11
           2.3921266e-11                   6.5166768e-11
           2.6911424e-11                   2.0972822e-10
           2.9901581e-11                   5.5792282e-10
           3.2891741e-11                   1.2621207e-09
           3.5881898e-11                   2.4723372e-09
           3.8872058e-11                   4.2377271e-09
           4.1862215e-11                   6.3766969e-09
           4.4852375e-11                   8.3752676e-09
           4.7842532e-11                   9.3956709e-09
           5.0832689e-11                   8.4573921e-09
           5.3822849e-11                   4.7824953e-09
           5.6813006e-11                  -1.8001138e-09
           5.9803162e-11                  -1.0570379e-08
           6.2793326e-11                  -1.9928354e-08
           6.5783483e-11                  -2.7773902e-08
            6.877364e-11                  -3.2157981e-08
           7.1763796e-11                  -3.1950595e-08
           7.4753953e-11                  -2.7218817e-08
           7.7744117e-11                  -1.9110656e-08
           8.0734273e-11                  -9.2676515e-09
            8.372443e-11                   9.6533559e-10
           8.6714587e-11                   1.1134359e-08
           8.9704751e-11                   2.1747034e-08
           9.2694907e-11                   3.3749529e-08
           9.5685064e-11                   4.7659864e-08
           9.8675221e-11                   6.2818337e-08
           1.0166538e-10                   7.7189533e-08
           1.0465554e-10                   8.7881304e-08
            1.076457e-10                    9.216182e-08
           1.1063585e-10                   8.8468092e-08
           1.1362601e-10                   7.6872453e-08
           1.1661618e-10                   5.8743659e-08
           1.1960632e-10                   3.5774441e-08
           1.2259649e-10                   8.9133021e-09
           1.2558665e-10                  -2.2177911e-08
            1.285768e-10                  -5.8782831e-08
           1.3156697e-10                  -1.0202822e-07
           1.3455712e-10                  -1.5158918e-07
           1.3754728e-10                  -2.0491981e-07
           1.4053744e-10                  -2.5748247e-07
           1.4352759e-10                  -3.0392323e-07
           1.4651776e-10                   -3.396155e-07
           1.4950791e-10                  -3.6176337e-07
           1.5249807e-10                  -3.6947145e-07
           1.5548823e-10                  -3.6274307e-07
           1.5847838e-10                  -3.4098071e-07
           1.6146855e-10                  -3.0188048e-07
           1.6445871e-10                  -2.4144623e-07
           1.6744886e-10                  -1.5527286e-07
           1.7043902e-10                  -4.0548645e-08
           1.7342917e-10                   1.0219266e-07
           1.7641934e-10                   2.6846334e-07
            1.794095e-10                   4.5066577e-07
           1.8239965e-10                   6.3993809e-07
           1.8538981e-10                   8.2800881e-07
           1.8837996e-10                   1.0080596e-06
           1.9137013e-10                   1.1741403e-06
           1.9436029e-10                   1.3194943e-06
           1.9735044e-10                   1.4348062e-06
           2.0034061e-10                   1.5074837e-06
           2.0333076e-10                   1.5226087e-06
           2.0632092e-10                   1.4653424e-06
           2.0931108e-10                   1.3238039e-06
           2.1230123e-10                   1.0912111e-06
            2.152914e-10                   7.6645574e-07
           2.1828155e-10                   3.5314287e-07
           2.2127171e-10                  -1.4207481e-07
           2.2426187e-10                  -7.1065517e-07
           2.2725202e-10                  -1.3419494e-06
           2.3024219e-10                  -2.0215398e-06
           2.3323235e-10                  -2.7289489e-06
           2.3622251e-10                  -3.4360039e-06
           2.3921265e-10                  -4.1069143e-06
           2.4220281e-10                  -4.7003423e-06
           2.4519298e-10                  -5.1727993e-06
           2.4818314e-10                  -5.4821526e-06
            2.511733e-10                  -5.5900887e-06
           2.5416344e-10                  -5.4631064e-06
            2.571536e-10                  -5.0725207e-06
           2.6014377e-10                  -4.3945893e-06
           2.6313393e-10                  -3.4118543e-06
           2.6612409e-10                    -2.11612e-06
           2.6911423e-10                  -5.1256291e-07
           2.7210439e-10                   1.3762785e-06
           2.7509456e-10                   3.5080288e-06
           2.7808472e-10                   5.8202768e-06
           2.8107489e-10                   8.2325341e-06
           2.8406502e-10                   1.0649364e-05
           2.8705519e-10                   1.2963534e-05
           2.9004535e-10                   1.5058487e-05
           2.9303551e-10                    1.681026e-05
           2.9602568e-10                   1.8089817e-05
           2.9901581e-10                   1.8766912e-05
           3.0200598e-10                   1.8716326e-05
           3.0499614e-10                   1.7826174e-05
            3.079863e-10                   1.6007245e-05
           3.1097647e-10                   1.3201826e-05
            3.139666e-10                   9.3908293e-06
           3.1695677e-10                   4.5986967e-06
