        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       8                      -15.860065
               8.0039997                      -15.867236
               8.0080004                      -15.874602
               8.0120001                      -15.882164
               8.0159998                      -15.889923
               8.0200005                      -15.897876
               8.0240002                      -15.906027
               8.0279999                      -15.914373
               8.0319996                      -15.922919
               8.0360003                      -15.931663
                    8.04                      -15.940604
               8.0439997                      -15.949745
               8.0480003                      -15.959086
                   8.052                      -15.968628
               8.0559998                      -15.978371
               8.0600004                      -15.988315
               8.0640001                      -15.998463
               8.0679998                      -16.008814
               8.0719995                      -16.019369
               8.0760002                      -16.030129
               8.0799999                      -16.041095
               8.0839996                      -16.052267
               8.0880003                      -16.063647
                   8.092                      -16.075236
               8.0959997                      -16.087032
               8.1000004                      -16.099039
               8.1040001                      -16.111257
               8.1079998                      -16.123686
               8.1120005                      -16.136329
               8.1160002                      -16.149184
               8.1199999                      -16.162254
               8.1239996                      -16.175539
               8.1280003                       -16.18904
                   8.132                      -16.202759
               8.1359997                      -16.216694
               8.1400003                      -16.230848
               8.1440001                      -16.245223
               8.1479998                      -16.259817
               8.1520004                      -16.274633
               8.1560001                       -16.28967
               8.1599998                      -16.304931
               8.1639996                      -16.320416
               8.1680002                      -16.336124
               8.1719999                      -16.352057
               8.1759996                      -16.368218
               8.1800003                      -16.384604
                   8.184                      -16.401219
               8.1879997                      -16.418061
               8.1920004                      -16.435133
               8.1960001                      -16.452433
               8.1999998                      -16.469965
               8.2040005                      -16.487728
               8.2080002                      -16.505721
               8.2119999                      -16.523947
               8.2159996                      -16.542406
               8.2200003                      -16.561098
                   8.224                      -16.580023
               8.2279997                      -16.599184
               8.2320004                      -16.618578
               8.2360001                      -16.638209
               8.2399998                      -16.658075
               8.2440004                      -16.678177
               8.2480001                      -16.698514
               8.2519999                      -16.719091
               8.2559996                      -16.739903
               8.2600002                      -16.760954
               8.2639999                      -16.782242
               8.2679996                      -16.803768
               8.2720003                      -16.825532
                   8.276                      -16.847536
               8.2799997                      -16.869778
               8.2840004                      -16.892259
               8.2880001                       -16.91498
               8.2919998                      -16.937939
               8.2959995                      -16.961139
               8.3000002                      -16.984576
               8.3039999                      -17.008254
               8.3079996                      -17.032171
               8.3120003                      -17.056329
                   8.316                      -17.080726
               8.3199997                      -17.105362
               8.3240004                      -17.130239
               8.3280001                      -17.155355
               8.3319998                      -17.180709
               8.3360004                      -17.206304
               8.3400002                      -17.232139
               8.3439999                      -17.258212
               8.3479996                      -17.284526
               8.3520002                      -17.311076
               8.3559999                      -17.337867
               8.3599997                      -17.364897
               8.3640003                      -17.392165
                   8.368                      -17.419672
               8.3719997                      -17.447418
               8.3760004                      -17.475401
               8.3800001                      -17.503623
               8.3839998                      -17.532083
               8.3879995                       -17.56078
               8.3920002                      -17.589716
               8.3959999                      -17.618889
               8.3999996                      -17.648301
               8.4040003                      -17.677949
                   8.408                      -17.707834
               8.4119997                      -17.737957
               8.4160004                      -17.768318
               8.4200001                      -17.798916
               8.4239998                      -17.829751
               8.4280005                      -17.860824
               8.4320002                      -17.892134
               8.4359999                      -17.923681
               8.4399996                      -17.955466
               8.4440002                       -17.98749
                   8.448                       -18.01975
               8.4519997                      -18.052249
               8.4560003                      -18.084986
                    8.46                      -18.117963
               8.4639997                      -18.151178
               8.4680004                      -18.184634
               8.4720001                      -18.218328
               8.4759998                      -18.252265
               8.4799995                      -18.286442
               8.4840002                      -18.320861
               8.4879999                      -18.355523
               8.4919996                      -18.390428
               8.4960003                      -18.425578
                     8.5                      -18.460973
               8.5039997                      -18.496614
               8.5080004                      -18.532504
               8.5120001                      -18.568641
               8.5159998                      -18.605028
               8.5200005                      -18.641667
               8.5240002                      -18.678559
               8.5279999                      -18.715705
               8.5319996                      -18.753107
               8.5360003                      -18.790767
                    8.54                      -18.828686
               8.5439997                      -18.866868
               8.5480003                      -18.905313
                   8.552                      -18.944024
               8.5559998                      -18.983005
               8.5600004                      -19.022255
               8.5640001                       -19.06178
               8.5679998                      -19.101581
               8.5719995                      -19.141662
               8.5760002                      -19.182024
               8.5799999                      -19.222672
               8.5839996                      -19.263609
               8.5880003                      -19.304839
                   8.592                      -19.346365
               8.5959997                       -19.38819
               8.6000004                       -19.43032
               8.6040001                      -19.472756
               8.6079998                      -19.515506
               8.6120005                      -19.558572
               8.6160002                      -19.601959
               8.6199999                      -19.645674
               8.6239996                      -19.689719
               8.6280003                      -19.734101
                   8.632                      -19.778825
               8.6359997                      -19.823896
               8.6400003                      -19.869321
               8.6440001                      -19.915105
               8.6479998                      -19.961255
               8.6520004                      -20.007777
               8.6560001                      -20.054678
               8.6599998                      -20.101965
               8.6639996                      -20.149645
               8.6680002                      -20.197725
               8.6719999                      -20.246213
               8.6759996                      -20.295117
               8.6800003                      -20.344444
                   8.684                      -20.394203
               8.6879997                      -20.444404
               8.6920004                      -20.495055
               8.6960001                      -20.546163
               8.6999998                       -20.59774
               8.7040005                      -20.649795
               8.7080002                      -20.702338
               8.7119999                      -20.755379
               8.7159996                      -20.808929
               8.7200003                      -20.862997
                   8.724                      -20.917597
               8.7279997                      -20.972739
               8.7320004                      -21.028435
               8.7360001                      -21.084696
               8.7399998                      -21.141535
               8.7440004                      -21.198966
               8.7480001                      -21.257002
               8.7519999                      -21.315654
               8.7559996                      -21.374939
               8.7600002                       -21.43487
               8.7639999                      -21.495461
               8.7679996                      -21.556727
               8.7720003                      -21.618684
                   8.776                      -21.681348
               8.7799997                      -21.744734
               8.7840004                       -21.80886
               8.7880001                      -21.873742
               8.7919998                      -21.939399
               8.7959995                      -22.005848
               8.8000002                      -22.073108
               8.8039999                      -22.141197
               8.8079996                      -22.210134
               8.8120003                      -22.279941
                   8.816                      -22.350638
               8.8199997                      -22.422245
               8.8240004                      -22.494785
               8.8280001                      -22.568281
               8.8319998                      -22.642752
               8.8360004                      -22.718225
               8.8400002                      -22.794725
               8.8439999                      -22.872273
               8.8479996                      -22.950897
               8.8520002                      -23.030623
               8.8559999                      -23.111479
               8.8599997                      -23.193491
               8.8640003                      -23.276688
                   8.868                        -23.3611
               8.8719997                      -23.446757
               8.8760004                       -23.53369
               8.8800001                       -23.62193
               8.8839998                      -23.711511
               8.8879995                      -23.802469
               8.8920002                      -23.894835
               8.8959999                      -23.988649
               8.8999996                      -24.083945
               8.9040003                      -24.180763
                   8.908                      -24.279143
               8.9119997                      -24.379125
               8.9160004                      -24.480752
               8.9200001                      -24.584066
               8.9239998                      -24.689113
               8.9280005                      -24.795939
               8.9320002                      -24.904591
               8.9359999                      -25.015121
               8.9399996                      -25.127578
               8.9440002                      -25.242014
                   8.948                      -25.358486
               8.9519997                      -25.477048
               8.9560003                       -25.59776
                    8.96                      -25.720682
               8.9639997                      -25.845875
               8.9680004                      -25.973405
               8.9720001                      -26.103338
               8.9759998                      -26.235742
               8.9799995                      -26.370688
               8.9840002                      -26.508251
               8.9879999                      -26.648504
               8.9919996                      -26.791529
               8.9960003                      -26.937406
                       9                      -27.086215
               9.0039997                      -27.238045
               9.0080004                      -27.392983
               9.0120001                       -27.55112
               9.0159998                      -27.712549
               9.0200005                      -27.877364
               9.0240002                      -28.045664
               9.0279999                       -28.21755
               9.0319996                      -28.393118
               9.0360003                      -28.572474
                    9.04                      -28.755717
               9.0439997                      -28.942952
               9.0480003                      -29.134278
                   9.052                      -29.329797
               9.0559998                      -29.529603
               9.0600004                      -29.733789
               9.0640001                      -29.942439
               9.0679998                      -30.155629
               9.0719995                      -30.373423
               9.0760002                      -30.595869
               9.0799999                      -30.822995
               9.0839996                      -31.054805
               9.0880003                      -31.291271
                   9.092                      -31.532328
               9.0959997                      -31.777862
               9.1000004                      -32.027699
               9.1040001                      -32.281599
               9.1079998                       -32.53923
               9.1120005                      -32.800163
               9.1160002                      -33.063842
               9.1199999                      -33.329567
               9.1239996                      -33.596465
               9.1280003                      -33.863467
                   9.132                      -34.129279
               9.1359997                      -34.392347
               9.1400003                      -34.650843
               9.1440001                      -34.902633
               9.1479998                      -35.145283
               9.1520004                      -35.376049
               9.1560001                      -35.591921
               9.1599998                      -35.789673
               9.1639996                      -35.965958
